"","station","name","lon","lat"
"21465","16700000","TIRIOS",-55.9564,2.2239
"21470","16800002","VISTA ALEGRE - CONJ.2",-56.0542,-1.1308
"21473","16810080","CARAPANA",-56.0417,-1.075
"21474","16820000","BARRACAO DE PEDRA",-56.0628,-1.0514
"21475","16900000","ORIXIMINA",-55.8622,-1.7764
"21476","17050000","OBIDOS - PORTO",-55.5111,-1.9472
"21477","17050001","OBIDOS",-55.5131,-1.9192
"21481","17070000","SETE VARAS",-54.9167,-0.95
"21482","17090000","BOCA DO INFERNO",-54.8728,-1.5031
"21490","17091000","FAZENDA TUCUNARE",-59.0078,-13.4608
"21520","17091600","PCH SACRE 2 MONTANTE 1",-58.1844,-13.0258
"21521","17092800","ALDEIA SACRE II",-58.1853,-13.0264
"21524","17092900","UTIARITI",-58.2833,-13.0333
"21525","17092950","FAZENDA SATELITE",-58.1783,-13.0814
"21527","17093000","FONTANILHAS",-58.3428,-11.3583
"21557","17095000","FAZENDA TOMBADOR",-58.0481,-11.7181
"21558","17097000","GLEBA AGROSAN",-58.1289,-11.3214
"21559","17098000","FAZENDA VALE DO TUCANA",-58.3472,-10.4386
"21563","17100000","FAZENDA TAUA",-56.6103,-13.3844
"21567","17120000","PORTO DOS GAUCHOS",-57.4236,-11.5367
"21569","17121000","CAIABIS (BALSA - ITAPAIUNA)",-57.0658,-10.9836
"21570","17122000","RIO DOS PEIXES",-57.7272,-10.8231
"21572","17123000","RIO ARINOS",-58.0042,-10.6392
"21577","17130000","FOZ DO JURUENA",-58.2808,-7.7311
"21578","17200000","PORTO RONCADOR",-55.3347,-13.5575
"21579","17210000","TELES PIRES",-55.7928,-12.6742
"21583","17230000","PCH CANOA QUEBRADA LUCAS DO RIO VERDE",-55.905,-13.0519
"21601","17280000","CACHOEIRAO",-55.7025,-11.6517
"21607","17300000","FAZENDA TRATEX",-55.5508,-10.9558
